level_index,role,rom_addr,rom_offset,width,height,cells,sha256,unique_values,zero_cells,value14_cells,min_value,max_value
3,collision,0x084AA5FC,0x004AA5FC,256,160,40960,06f9682b9119e9aeec12fbb543fe3e38c5d77a15828eb5959c231515efd0275b,2,40435,525,0,14
3,visual_B,0x084BE604,0x004BE604,256,160,40960,29cc13401075e759956b897a8b4c49d04740312948c0ed346b5deb875100eb49,281,36684,0,0,981
3,fixed_tilemap,0x084E6614,0x004E6614,64,32,2048,f893e3111467ad48ffb1daba565885373221cbada882b5ec6bae824b59e23eae,37,0,0,406,633
4,visual_A,0x0849A570,0x0049A570,192,160,30720,36217168e074c6e9fb53b68c4ac9ff7e33c33445fccdd72c22067f439ae6dc7d,240,0,0,2,325
4,collision,0x0847C560,0x0047C560,192,160,30720,7fe0e1fd7ca8af6f49af7e33a7c8b11125c88ce61c7a15d609ca1ceef22ff049,2,30228,492,0,14
4,visual_B,0x0848B568,0x0048B568,192,160,30720,aa03107c2ac225a99670502239656742cc253dfcfa6de77e3563f6bffdc73adb,30,29927,0,0,285
4,fixed_tilemap,0x084E6614,0x004E6614,64,32,2048,f893e3111467ad48ffb1daba565885373221cbada882b5ec6bae824b59e23eae,37,0,0,406,633
5,visual_A,0x0845CF4C,0x0045CF4C,320,200,64000,a29feca6fd9663557e7b92007c884be070931d70c209f86f3efe6565bf3f31d4,548,142,0,0,2591
5,collision,0x0841E73C,0x0041E73C,320,200,64000,eec19bc6af0b3b6dfb97a08782c65f4bb3c3203e789a015d2008b0d689ad08be,1,64000,0,0,0
5,visual_B,0x0843DB44,0x0043DB44,320,200,64000,207294ed3890544a4fc9ed4ef717ba826fb9a61f163226c386d76df6322c727b,309,58620,0,0,1164
5,fixed_tilemap,0x084E6614,0x004E6614,64,32,2048,f893e3111467ad48ffb1daba565885373221cbada882b5ec6bae824b59e23eae,37,0,0,406,633
6,visual_A,0x08656174,0x00656174,30,20,600,81aceeef3169acc6eb2dae36bc599d25f6971a7c1f13fb36a39a270f57202648,600,0,0,320,957
6,collision,0x08655CC4,0x00655CC4,30,20,600,7d44637617946a5815db7747c20d1c18da040891642b34316c5eb45402f21bac,106,495,0,0,313
6,visual_B,0x08655CC4,0x00655CC4,30,20,600,7d44637617946a5815db7747c20d1c18da040891642b34316c5eb45402f21bac,106,495,0,0,313
6,fixed_tilemap,0x08656174,0x00656174,30,20,600,81aceeef3169acc6eb2dae36bc599d25f6971a7c1f13fb36a39a270f57202648,600,0,0,320,957
7,visual_A,0x0841D47C,0x0041D47C,29,24,696,1afaf7d4c35028599df5edf8f7d2b4620f55e5c3822998300e2ce6fad8f3a182,100,0,0,192,393
7,collision,0x0841C98C,0x0041C98C,29,24,696,2617e079ae5f1ce693841fb72b1dfad802b61e42ca842dec421af1537869813e,2,109,587,0,14
7,visual_B,0x0841CF04,0x0041CF04,29,24,696,14500e5ed2e70ffb748b3f7d4cd551715868ef25e62fff0c65b9f3206a221b42,47,428,0,0,283
7,fixed_tilemap,0x084E6614,0x004E6614,64,32,2048,f893e3111467ad48ffb1daba565885373221cbada882b5ec6bae824b59e23eae,37,0,0,406,633
8,visual_A,0x0841BC08,0x0041BC08,37,43,1591,cc57888de3608db21ae70cedd8307577c4df6c9c51737a8bc18eede1bbefbd0e,181,920,0,0,620
8,collision,0x0841A318,0x0041A318,37,43,1591,0bec32f0596885e3a8038f128153c2c8c5481a60be982f5f43819e18c129669d,2,339,1252,0,14
8,visual_B,0x0841AF90,0x0041AF90,37,43,1591,25c8a5e83d5c246c5b192470f0243fc7ce97535aa03bb8dc3e546111e254887f,75,588,0,0,618
8,fixed_tilemap,0x084E6614,0x004E6614,64,32,2048,f893e3111467ad48ffb1daba565885373221cbada882b5ec6bae824b59e23eae,37,0,0,406,633
9,visual_A,0x083E9308,0x003E9308,782,128,100096,ca66894a19563130f79537dad594a3649a929aee94d16bdbc40211b3029ba492,475,25341,0,0,1259
9,collision,0x083876F8,0x003876F8,782,128,100096,b880ea5bb7487a0255a76bdd62595e444064cd7f2dbefbe0d0bfcada82205b91,2,95728,4368,0,14
9,visual_B,0x083B8500,0x003B8500,782,128,100096,cb5fac8e8eba853ce537a9e2ed2a23b66e5230ea9c167dccfbd0dbd3636f0ebb,225,82631,0,0,1278
9,fixed_tilemap,0x084E6614,0x004E6614,64,32,2048,f893e3111467ad48ffb1daba565885373221cbada882b5ec6bae824b59e23eae,37,0,0,406,633
10,visual_A,0x0837C4C4,0x0037C4C4,168,128,21504,fd64d7989973c47c16efd47a4f75515cae013f97e104df7cee3d5162c1d6e000,385,0,0,11,1259
10,collision,0x083674B4,0x003674B4,168,128,21504,ecfaed751990ae3b4c19ed85c0a132945137f3b8164aaf17f1e62869c66d6b7b,2,8210,13294,0,14
10,visual_B,0x08371CBC,0x00371CBC,168,128,21504,aa72dfbed497d3d45128524b3155455a59162bd06641bc09b4de24e4fe76da85,218,14495,0,0,1278
10,fixed_tilemap,0x084E6614,0x004E6614,64,32,2048,f893e3111467ad48ffb1daba565885373221cbada882b5ec6bae824b59e23eae,37,0,0,406,633
